Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-26 ,5 hours 4 min,4 hours 21 min,21:12:30,21:39:30,10,Yes,0 hours 43 min
2021-07-27 ,4 hours 9 min,2 hours 6 min,21:02:29,22:59:29,10,Yes,2 hours 3 min
2021-07-28 ,2 hours 37 min,1 hours 14 min,21:07:21,22:15:21,7,Yes,1 hours 23 min
2021-07-29 ,4 hours 26 min,3 hours 30 min,21:19:04,21:53:04,11,Yes,0 hours 56 min
2021-07-30 ,1 hours 47 min,0 hours 0 min,21:36:03,23:56:03,5,Yes,1 hours 47 min
2021-07-31 ,6 hours 28 min,3 hours 10 min,00:04:03,23:45:51,16,Yes,3 hours 18 min
2021-08-01 ,5 hours 3 min,2 hours 16 min,21:10:03,23:57:03,7,Yes,2 hours 47 min
2021-08-02 ,20 hours 59 min,3 hours 54 min,00:03:03,21:40:33,10,Yes,17 hours 5 min
2021-08-03 ,4 hours 52 min,2 hours 17 min,05:32:01,22:47:52,12,Yes,2 hours 35 min
2021-08-04 ,3 hours 18 min,1 hours 45 min,21:08:01,22:12:01,6,Yes,1 hours 33 min
2021-08-05 ,5 hours 47 min,3 hours 28 min,21:17:18,23:53:19,13,Yes,2 hours 19 min
2021-08-06 ,7 hours 34 min,3 hours 29 min,00:03:19,23:54:22,21,Yes,4 hours 5 min
2021-08-07 ,1 hours 4 min,0 hours 0 min,00:00:22,01:56:22,3,Yes,1 hours 4 min
2021-08-08 ,6 hours 23 min,2 hours 57 min,06:32:21,23:02:19,17,Yes,3 hours 26 min
2021-08-09 ,3 hours 55 min,3 hours 23 min,21:01:17,22:20:17,10,Yes,0 hours 32 min
2021-08-10 ,4 hours 23 min,1 hours 23 min,21:04:15,23:56:15,11,Yes,3 hours 0 min
2021-08-11 ,4 hours 12 min,2 hours 47 min,00:02:15,22:11:42,11,Yes,1 hours 25 min
2021-08-12 ,6 hours 45 min,3 hours 40 min,21:00:42,23:58:43,16,Yes,3 hours 5 min
2021-08-13 ,4 hours 44 min,2 hours 31 min,00:04:43,23:04:44,12,Yes,2 hours 13 min
2021-08-14 ,6 hours 10 min,3 hours 8 min,21:14:27,23:56:28,12,Yes,3 hours 2 min
2021-08-15 ,6 hours 51 min,3 hours 3 min,00:06:28,23:55:29,16,Yes,3 hours 48 min
2021-08-16 ,1 hours 34 min,0 hours 0 min,00:02:29,01:36:29,3,Yes,1 hours 34 min
2021-08-17 ,5 hours 28 min,2 hours 59 min,21:03:37,23:56:38,11,Yes,2 hours 29 min
2021-08-18 ,0 hours 35 min,0 hours 0 min,00:03:38,00:38:38,1,Yes,0 hours 35 min
2021-08-20 ,6 hours 11 min,3 hours 47 min,21:35:08,23:59:10,13,Yes,2 hours 24 min
2021-08-21 ,2 hours 13 min,0 hours 33 min,21:15:14,23:39:14,7,Yes,1 hours 40 min
2021-08-22 ,4 hours 56 min,2 hours 46 min,00:01:14,23:54:55,10,Yes,2 hours 10 min
2021-08-23 ,0 hours 38 min,0 hours 0 min,00:09:55,00:47:55,1,Yes,0 hours 38 min
2021-08-24 ,4 hours 9 min,2 hours 49 min,21:05:10,22:19:10,6,Yes,1 hours 20 min
2021-08-25 ,5 hours 42 min,4 hours 8 min,21:04:31,22:20:31,13,Yes,1 hours 34 min
2021-08-27 ,1 hours 10 min,0 hours 55 min,21:42:20,23:03:20,4,Yes,0 hours 15 min
2021-08-28 ,3 hours 38 min,0 hours 32 min,00:02:20,23:42:02,10,Yes,3 hours 6 min
2021-08-29 ,0 hours 55 min,0 hours 0 min,00:05:02,01:00:02,1,Yes,0 hours 55 min
2021-08-30 ,5 hours 31 min,3 hours 10 min,06:05:19,21:56:19,11,Yes,2 hours 21 min
2021-08-31 ,5 hours 1 min,4 hours 12 min,21:02:26,22:20:27,12,Yes,0 hours 49 min
2021-09-01 ,4 hours 48 min,2 hours 48 min,05:59:28,21:26:26,13,Yes,2 hours 0 min
2021-09-04 ,1 hours 12 min,0 hours 0 min,06:37:44,07:49:44,1,Yes,1 hours 12 min
2021-09-05 ,4 hours 43 min,3 hours 13 min,21:07:59,22:17:59,7,Yes,1 hours 30 min
2021-09-12 ,4 hours 17 min,3 hours 16 min,21:00:25,22:00:25,9,Yes,1 hours 1 min
2021-09-13 ,5 hours 5 min,3 hours 44 min,21:02:57,22:15:57,11,Yes,1 hours 21 min
2021-09-14 ,3 hours 48 min,3 hours 5 min,21:20:56,21:40:56,8,Yes,0 hours 43 min
2021-09-16 ,5 hours 49 min,3 hours 7 min,05:54:06,22:11:51,11,Yes,2 hours 42 min
2021-09-17 ,5 hours 9 min,2 hours 49 min,21:01:42,23:52:43,15,Yes,2 hours 20 min
2021-09-18 ,7 hours 40 min,5 hours 15 min,00:02:43,23:34:43,24,Yes,2 hours 25 min
2021-09-19 ,1 hours 46 min,0 hours 0 min,00:01:43,01:47:43,2,Yes,1 hours 46 min
2021-09-20 ,5 hours 4 min,2 hours 9 min,21:12:17,23:43:17,10,Yes,2 hours 55 min
2021-09-21 ,4 hours 12 min,1 hours 29 min,00:04:17,23:01:16,15,Yes,2 hours 43 min
2021-09-22 ,3 hours 56 min,3 hours 14 min,21:21:12,22:03:12,9,Yes,0 hours 42 min
2021-09-24 ,5 hours 23 min,2 hours 21 min,21:01:42,23:58:44,11,Yes,3 hours 2 min
2021-09-25 ,0 hours 50 min,0 hours 0 min,00:01:44,00:51:45,2,Yes,0 hours 50 min
2021-09-26 ,2 hours 10 min,1 hours 6 min,21:02:04,21:42:04,5,Yes,1 hours 4 min
2021-09-27 ,5 hours 10 min,3 hours 56 min,21:12:58,22:12:58,13,Yes,1 hours 14 min
2021-09-28 ,5 hours 56 min,3 hours 24 min,05:23:00,22:00:59,15,Yes,2 hours 32 min
2021-09-29 ,3 hours 15 min,3 hours 15 min,20:39:10,21:33:10,5,No,0 hours 0 min
2021-09-30 ,4 hours 18 min,2 hours 17 min,06:02:10,22:11:09,12,Yes,2 hours 1 min
2021-10-01 ,4 hours 43 min,1 hours 48 min,21:00:00,23:51:02,12,Yes,2 hours 55 min
2021-10-02 ,4 hours 18 min,0 hours 0 min,00:00:02,23:59:01,17,Yes,4 hours 18 min
2021-10-03 ,5 hours 7 min,1 hours 11 min,00:00:01,23:43:59,14,Yes,3 hours 56 min
2021-10-05 ,4 hours 23 min,2 hours 24 min,21:02:14,22:37:14,7,Yes,1 hours 59 min
2021-10-07 ,4 hours 26 min,3 hours 28 min,21:15:50,22:13:50,10,Yes,0 hours 58 min
2021-10-08 ,5 hours 20 min,2 hours 22 min,21:27:26,23:55:26,10,Yes,2 hours 58 min
2021-10-09 ,11 hours 10 min,0 hours 48 min,00:08:26,23:12:30,12,Yes,10 hours 22 min
2021-10-10 ,5 hours 1 min,2 hours 33 min,00:00:30,23:52:33,14,Yes,2 hours 28 min
2021-10-11 ,22 hours 0 min,2 hours 35 min,00:19:33,22:20:32,7,Yes,19 hours 25 min
2021-10-12 ,5 hours 13 min,2 hours 53 min,05:20:35,21:46:36,13,Yes,2 hours 20 min
2021-10-13 ,5 hours 26 min,4 hours 24 min,21:09:37,22:11:37,7,Yes,1 hours 2 min
2021-10-14 ,3 hours 7 min,2 hours 51 min,20:50:20,21:06:20,7,Yes,0 hours 16 min
2021-10-15 ,7 hours 21 min,4 hours 30 min,21:00:29,23:50:31,18,Yes,2 hours 51 min
2021-10-16 ,5 hours 46 min,2 hours 11 min,00:04:31,23:55:29,15,Yes,3 hours 35 min
2021-10-17 ,3 hours 44 min,0 hours 0 min,00:15:29,08:58:31,9,Yes,3 hours 44 min
2021-10-18 ,5 hours 12 min,3 hours 26 min,06:04:00,22:09:59,14,Yes,1 hours 46 min
2021-10-19 ,5 hours 50 min,4 hours 11 min,06:19:59,22:14:00,14,Yes,1 hours 39 min
2021-10-20 ,4 hours 9 min,3 hours 25 min,21:03:58,22:13:58,12,Yes,0 hours 44 min
2021-10-21 ,5 hours 2 min,5 hours 2 min,,,11,No,0 hours 0 min
2021-10-24 ,3 hours 6 min,2 hours 23 min,21:23:57,22:06:57,9,Yes,0 hours 43 min
2021-10-25 ,4 hours 32 min,3 hours 24 min,21:01:02,22:07:02,10,Yes,1 hours 8 min
2021-10-26 ,4 hours 57 min,3 hours 34 min,21:02:04,22:14:04,10,Yes,1 hours 23 min
2021-10-27 ,5 hours 36 min,3 hours 18 min,05:53:04,21:54:23,15,Yes,2 hours 18 min
2021-10-28 ,4 hours 49 min,3 hours 39 min,21:22:24,22:03:24,8,Yes,1 hours 10 min
2021-10-30 ,6 hours 27 min,3 hours 2 min,08:25:45,23:55:34,15,Yes,3 hours 25 min
2021-10-31 ,4 hours 34 min,2 hours 46 min,00:04:34,21:48:34,14,Yes,1 hours 48 min
2021-11-01 ,4 hours 17 min,3 hours 58 min,21:07:33,21:11:33,12,Yes,0 hours 19 min
2021-11-02 ,1 hours 19 min,0 hours 0 min,05:16:33,06:35:33,2,Yes,1 hours 19 min
2021-11-03 ,4 hours 47 min,4 hours 9 min,21:20:40,21:58:40,12,Yes,0 hours 38 min
2021-11-04 ,1 hours 8 min,0 hours 0 min,05:32:43,06:40:43,3,Yes,1 hours 8 min
2021-11-07 ,4 hours 43 min,4 hours 8 min,21:00:30,21:33:31,11,Yes,0 hours 35 min
2021-11-08 ,2 hours 40 min,2 hours 14 min,21:06:34,21:24:34,7,Yes,0 hours 26 min
2021-11-10 ,4 hours 35 min,3 hours 21 min,21:08:19,22:07:19,10,Yes,1 hours 14 min
2021-11-11 ,5 hours 35 min,4 hours 3 min,21:06:07,22:14:07,11,Yes,1 hours 32 min
2021-11-12 ,4 hours 28 min,1 hours 35 min,06:02:36,23:42:36,12,Yes,2 hours 53 min
2021-11-13 ,6 hours 42 min,1 hours 59 min,00:15:36,23:53:30,15,Yes,4 hours 43 min
2021-11-14 ,4 hours 43 min,2 hours 56 min,00:00:30,22:05:57,14,Yes,1 hours 47 min
2021-11-15 ,4 hours 53 min,3 hours 43 min,21:02:56,22:04:56,14,Yes,1 hours 10 min
2021-11-16 ,3 hours 45 min,2 hours 21 min,21:06:56,22:15:56,7,Yes,1 hours 24 min
2021-11-17 ,3 hours 29 min,2 hours 49 min,21:32:55,22:12:55,8,Yes,0 hours 40 min
2021-11-18 ,4 hours 44 min,4 hours 7 min,21:10:27,22:05:27,10,Yes,0 hours 37 min
2021-11-19 ,4 hours 43 min,2 hours 32 min,21:17:27,23:55:27,11,Yes,2 hours 11 min
2021-11-20 ,5 hours 24 min,1 hours 54 min,00:08:27,23:47:31,14,Yes,3 hours 30 min
2021-11-21 ,6 hours 31 min,3 hours 5 min,00:00:31,22:02:51,18,Yes,3 hours 26 min
2021-11-22 ,3 hours 17 min,3 hours 17 min,,,5,No,0 hours 0 min
2021-11-23 ,4 hours 15 min,3 hours 22 min,21:02:48,21:48:48,12,Yes,0 hours 53 min
2021-11-24 ,3 hours 30 min,3 hours 8 min,21:38:47,22:00:47,10,Yes,0 hours 22 min
2021-11-25 ,4 hours 57 min,3 hours 52 min,21:06:52,21:49:52,11,Yes,1 hours 5 min
2021-11-26 ,2 hours 21 min,1 hours 13 min,21:15:10,22:01:10,6,Yes,1 hours 8 min
