Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-26 ,6 hours 10 min,6 hours 10 min,,,16,No,0 hours 0 min
2021-07-27 ,5 hours 6 min,5 hours 6 min,,,10,No,0 hours 0 min
2021-07-28 ,4 hours 51 min,4 hours 51 min,,,10,No,0 hours 0 min
2021-07-29 ,4 hours 48 min,4 hours 48 min,,,11,No,0 hours 0 min
2021-07-30 ,6 hours 22 min,6 hours 22 min,,,13,No,0 hours 0 min
2021-07-31 ,4 hours 27 min,4 hours 27 min,,,10,No,0 hours 0 min
2021-08-01 ,5 hours 22 min,5 hours 22 min,,,10,No,0 hours 0 min
2021-08-02 ,5 hours 9 min,5 hours 9 min,,,10,No,0 hours 0 min
2021-08-03 ,5 hours 31 min,5 hours 31 min,,,9,No,0 hours 0 min
2021-08-04 ,6 hours 12 min,6 hours 12 min,,,13,No,0 hours 0 min
2021-08-05 ,6 hours 42 min,6 hours 42 min,,,15,No,0 hours 0 min
2021-08-06 ,5 hours 58 min,5 hours 58 min,,,13,No,0 hours 0 min
2021-08-07 ,8 hours 12 min,7 hours 7 min, 05:59:35, 07:02:35,14,Yes,1 hours 5 min
2021-08-08 ,7 hours 37 min,6 hours 4 min, 07:20:16, 08:24:16,18,Yes,1 hours 33 min
2021-08-09 ,6 hours 47 min,6 hours 47 min,,,12,No,0 hours 0 min
2021-08-10 ,6 hours 4 min,6 hours 4 min,,,11,No,0 hours 0 min
2021-08-11 ,5 hours 5 min,5 hours 5 min,,,11,No,0 hours 0 min
2021-08-12 ,5 hours 32 min,5 hours 32 min,,,14,No,0 hours 0 min
2021-08-13 ,4 hours 54 min,4 hours 54 min,,,12,No,0 hours 0 min
2021-08-14 ,8 hours 1 min,6 hours 2 min, 05:37:16, 07:35:16,17,Yes,1 hours 59 min
2021-08-16 ,7 hours 46 min,5 hours 38 min, 06:08:05, 08:00:05,17,Yes,2 hours 8 min
2021-08-17 ,6 hours 2 min,6 hours 2 min,,,12,No,0 hours 0 min
2021-08-18 ,5 hours 24 min,5 hours 24 min,,,12,No,0 hours 0 min
2021-08-19 ,5 hours 27 min,5 hours 27 min,,,12,No,0 hours 0 min
2021-08-20 ,4 hours 58 min,3 hours 41 min, 22:08:22, 23:25:22,10,Yes,1 hours 17 min
2021-08-21 ,9 hours 14 min,6 hours 30 min, 05:28:22, 08:11:22,19,Yes,2 hours 44 min
2021-08-22 ,5 hours 30 min,4 hours 2 min, 07:14:35, 08:41:35,15,Yes,1 hours 28 min
2021-08-23 ,4 hours 12 min,4 hours 12 min,,,10,No,0 hours 0 min
2021-08-24 ,4 hours 27 min,4 hours 12 min, 20:45:38, 21:00:38,10,Yes,0 hours 15 min
2021-08-25 ,7 hours 33 min,5 hours 52 min, 05:24:41, 21:00:42,21,Yes,1 hours 41 min
2021-08-26 ,5 hours 5 min,5 hours 5 min,,,16,No,0 hours 0 min
2021-08-27 ,5 hours 12 min,5 hours 12 min,,,14,No,0 hours 0 min
2021-08-28 ,3 hours 53 min,3 hours 53 min,,,12,No,0 hours 0 min
2021-08-29 ,7 hours 30 min,6 hours 1 min, 04:03:01, 21:00:01,17,Yes,1 hours 29 min
2021-08-30 ,5 hours 25 min,5 hours 25 min,,,12,No,0 hours 0 min
2021-08-31 ,4 hours 24 min,4 hours 24 min,,,13,No,0 hours 0 min
2021-09-01 ,6 hours 23 min,6 hours 23 min,,,16,No,0 hours 0 min
2021-09-02 ,5 hours 34 min,5 hours 34 min,,,10,No,0 hours 0 min
2021-09-03 ,5 hours 22 min,5 hours 22 min,,,11,No,0 hours 0 min
2021-09-04 ,7 hours 36 min,6 hours 19 min, 22:40:33, 23:57:33,18,Yes,1 hours 17 min
2021-09-05 ,5 hours 34 min,5 hours 34 min,,,10,No,0 hours 0 min
2021-09-06 ,6 hours 27 min,6 hours 27 min,,,11,No,0 hours 0 min
2021-09-07 ,5 hours 6 min,5 hours 6 min,,,12,No,0 hours 0 min
2021-09-08 ,5 hours 23 min,5 hours 23 min,,,13,No,0 hours 0 min
2021-09-09 ,6 hours 8 min,6 hours 8 min,,,16,No,0 hours 0 min
2021-09-10 ,6 hours 17 min,5 hours 18 min, 21:00:01, 21:45:01,14,Yes,0 hours 59 min
2021-09-11 ,6 hours 3 min,5 hours 9 min, 21:04:07, 21:53:07,11,Yes,0 hours 54 min
2021-09-12 ,3 hours 12 min,3 hours 12 min,,,12,No,0 hours 0 min
2021-09-13 ,5 hours 33 min,5 hours 33 min,,,12,No,0 hours 0 min
2021-09-14 ,7 hours 14 min,6 hours 51 min, 20:37:11, 21:00:11,15,Yes,0 hours 23 min
2021-09-15 ,7 hours 23 min,7 hours 17 min, 20:54:19, 21:00:19,12,Yes,0 hours 6 min
2021-09-16 ,7 hours 20 min,7 hours 19 min, 20:59:27, 21:00:27,14,Yes,0 hours 1 min
2021-09-17 ,3 hours 47 min,3 hours 47 min,,,9,No,0 hours 0 min
2021-09-18 ,7 hours 7 min,5 hours 49 min, 22:40:45, 23:58:45,14,Yes,1 hours 18 min
2021-09-19 ,5 hours 40 min,5 hours 7 min, 00:00:45, 21:53:35,13,Yes,0 hours 33 min
2021-09-20 ,5 hours 10 min,4 hours 49 min, 23:38:47, 23:59:47,10,Yes,0 hours 21 min
2021-09-21 ,8 hours 12 min,4 hours 44 min, 00:00:47, 23:53:59,23,Yes,3 hours 28 min
2021-09-22 ,7 hours 21 min,6 hours 9 min, 06:28:59, 08:05:59,15,Yes,1 hours 12 min
2021-09-23 ,6 hours 38 min,6 hours 38 min,,,11,No,0 hours 0 min
2021-09-24 ,4 hours 52 min,4 hours 35 min, 23:12:19, 23:29:19,10,Yes,0 hours 17 min
2021-09-25 ,20 hours 40 min,4 hours 33 min, 00:13:19, 23:52:25,16,Yes,16 hours 7 min
2021-09-26 ,6 hours 46 min,5 hours 20 min, 00:08:25, 06:52:25,17,Yes,1 hours 26 min
2021-09-27 ,5 hours 18 min,5 hours 18 min,,,8,No,0 hours 0 min
2021-09-28 ,5 hours 18 min,5 hours 18 min,,,13,No,0 hours 0 min
2021-09-29 ,6 hours 43 min,6 hours 43 min,,,18,No,0 hours 0 min
2021-09-30 ,6 hours 19 min,6 hours 19 min,,,14,No,0 hours 0 min
2021-10-01 ,5 hours 6 min,5 hours 6 min,,,8,No,0 hours 0 min
2021-10-02 ,6 hours 34 min,5 hours 14 min, 21:00:42, 23:35:47,15,Yes,1 hours 20 min
2021-10-03 ,5 hours 32 min,4 hours 47 min, 00:03:47, 21:28:47,14,Yes,0 hours 45 min
2021-10-04 ,6 hours 2 min,5 hours 49 min, 20:47:51, 21:00:51,16,Yes,0 hours 13 min
2021-10-05 ,6 hours 27 min,6 hours 26 min, 20:59:01, 21:00:01,10,Yes,0 hours 1 min
2021-10-06 ,5 hours 20 min,5 hours 20 min,,,11,No,0 hours 0 min
2021-10-07 ,5 hours 17 min,4 hours 12 min, 03:36:16, 04:40:16,13,Yes,1 hours 5 min
2021-10-08 ,5 hours 37 min,5 hours 32 min, 21:26:00, 21:31:00,16,Yes,0 hours 5 min
2021-10-09 ,5 hours 28 min,5 hours 28 min,,,13,No,0 hours 0 min
2021-10-10 ,5 hours 8 min,4 hours 41 min, 23:19:00, 23:46:00,14,Yes,0 hours 27 min
2021-10-11 ,5 hours 28 min,4 hours 45 min, 00:36:00, 01:16:00,14,Yes,0 hours 43 min
2021-10-12 ,3 hours 27 min,3 hours 0 min, 04:22:00, 04:22:00,11,Yes,0 hours 27 min
2021-10-13 ,4 hours 18 min,4 hours 18 min,,,12,No,0 hours 0 min
2021-10-14 ,4 hours 48 min,4 hours 48 min,,,12,No,0 hours 0 min
2021-10-15 ,4 hours 22 min,4 hours 22 min, 20:45:00, 21:28:00,16,No,0 hours 0 min
2021-10-16 ,4 hours 56 min,4 hours 56 min, 20:51:00, 21:36:00,13,No,0 hours 0 min
2021-10-17 ,4 hours 29 min,4 hours 29 min,,,11,No,0 hours 0 min
2021-10-18 ,5 hours 55 min,5 hours 55 min,,,13,No,0 hours 0 min
2021-10-19 ,3 hours 54 min,3 hours 54 min,,,12,No,0 hours 0 min
2021-10-20 ,4 hours 52 min,4 hours 52 min,,,9,No,0 hours 0 min
2021-10-21 ,5 hours 31 min,5 hours 31 min,,,11,No,0 hours 0 min
2021-10-22 ,5 hours 23 min,4 hours 20 min, 22:25:00, 23:59:00,17,Yes,1 hours 3 min
2021-10-23 ,6 hours 53 min,5 hours 44 min, 00:00:00, 23:40:00,22,Yes,1 hours 9 min
2021-10-24 ,2 hours 47 min,2 hours 47 min,,,11,No,0 hours 0 min
2021-10-25 ,4 hours 34 min,4 hours 34 min,,,15,No,0 hours 0 min
2021-10-26 ,5 hours 30 min,5 hours 30 min,,,17,No,0 hours 0 min
2021-10-27 ,6 hours 3 min,6 hours 3 min,,,15,No,0 hours 0 min
2021-10-28 ,5 hours 27 min,5 hours 27 min,,,11,No,0 hours 0 min
2021-10-29 ,6 hours 17 min,6 hours 17 min,,,11,No,0 hours 0 min
2021-10-30 ,7 hours 16 min,5 hours 45 min, 06:16:00, 23:23:00,21,Yes,1 hours 31 min
2021-10-31 ,5 hours 25 min,5 hours 25 min,,,10,No,0 hours 0 min
2021-11-01 ,4 hours 22 min,4 hours 22 min,,,11,No,0 hours 0 min
2021-11-02 ,4 hours 25 min,4 hours 25 min,,,13,No,0 hours 0 min
2021-11-03 ,4 hours 35 min,4 hours 14 min, 04:31:00, 04:52:00,15,Yes,0 hours 21 min
2021-11-04 ,4 hours 51 min,4 hours 51 min,,,13,No,0 hours 0 min
2021-11-05 ,2 hours 48 min,2 hours 48 min,,,12,No,0 hours 0 min
2021-11-06 ,4 hours 23 min,3 hours 56 min, 22:28:00, 23:36:00,13,Yes,0 hours 27 min
2021-11-07 ,3 hours 23 min,3 hours 23 min,,,11,No,0 hours 0 min
2021-11-08 ,3 hours 57 min,3 hours 57 min,,,11,No,0 hours 0 min
2021-11-09 ,4 hours 52 min,4 hours 52 min,,,14,No,0 hours 0 min
2021-11-10 ,4 hours 6 min,4 hours 6 min,,,11,No,0 hours 0 min
2021-11-11 ,4 hours 31 min,4 hours 31 min,,,15,No,0 hours 0 min
2021-11-12 ,4 hours 4 min,3 hours 57 min, 21:00:00, 23:33:00,12,Yes,0 hours 7 min
2021-11-13 ,18 hours 48 min,3 hours 37 min, 00:01:00, 21:54:00,13,Yes,15 hours 11 min
2021-11-14 ,4 hours 12 min,4 hours 12 min,,,12,No,0 hours 0 min
2021-11-15 ,4 hours 48 min,4 hours 48 min,,,11,No,0 hours 0 min
2021-11-16 ,5 hours 8 min,5 hours 8 min,,,14,No,0 hours 0 min
2021-11-17 ,5 hours 16 min,4 hours 3 min, 21:02:00, 23:59:00,17,Yes,1 hours 13 min
2021-11-18 ,4 hours 45 min,3 hours 42 min, 00:00:00, 01:00:00,11,Yes,1 hours 3 min
2021-11-19 ,5 hours 47 min,5 hours 3 min, 21:36:00, 22:20:00,19,Yes,0 hours 44 min
2021-11-20 ,1 hours 46 min,1 hours 46 min,,,10,No,0 hours 0 min
2021-11-21 ,3 hours 6 min,3 hours 6 min,,,11,No,0 hours 0 min
2021-11-22 ,6 hours 35 min,6 hours 35 min,,,12,No,0 hours 0 min
2021-11-23 ,5 hours 39 min,5 hours 39 min,,,12,No,0 hours 0 min
2021-11-24 ,4 hours 6 min,4 hours 6 min,,,12,No,0 hours 0 min
2021-11-25 ,5 hours 15 min,5 hours 15 min,,,12,No,0 hours 0 min
2021-11-26 ,3 hours 26 min,3 hours 26 min,,,12,No,0 hours 0 min
2021-11-27 ,6 hours 24 min,5 hours 14 min, 00:52:00, 23:43:00,17,Yes,1 hours 10 min
2021-11-28 ,6 hours 16 min,6 hours 16 min,,,16,No,0 hours 0 min
2021-11-29 ,5 hours 20 min,5 hours 20 min,,,13,No,0 hours 0 min
2021-11-30 ,5 hours 2 min,5 hours 2 min,,,13,No,0 hours 0 min
2021-12-01 ,4 hours 49 min,4 hours 49 min,,,13,No,0 hours 0 min
2021-12-02 ,3 hours 42 min,3 hours 42 min,,,11,No,0 hours 0 min
2021-12-03 ,6 hours 27 min,5 hours 22 min, 22:36:00, 23:41:00,19,Yes,1 hours 5 min
2021-12-04 ,3 hours 31 min,3 hours 31 min,,,10,No,0 hours 0 min
2021-12-05 ,5 hours 36 min,4 hours 42 min, 04:10:00, 05:01:00,14,Yes,0 hours 54 min
2021-12-06 ,5 hours 6 min,5 hours 6 min,,,11,No,0 hours 0 min
2021-12-08 ,4 hours 16 min,4 hours 16 min,,,12,No,0 hours 0 min
2021-12-09 ,4 hours 16 min,3 hours 13 min, 05:01:00, 05:58:00,16,Yes,1 hours 3 min
2021-12-10 ,3 hours 46 min,3 hours 28 min, 21:09:00, 23:58:00,11,Yes,0 hours 18 min
2021-12-11 ,3 hours 44 min,2 hours 54 min, 00:08:00, 00:57:00,12,Yes,0 hours 50 min
