Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-08-05 ,6 hours 6 min,3 hours 55 min,05:28:54,08:12:54,13,Yes,2 hours 11 min
2021-08-06 ,3 hours 12 min,0 hours 0 min,04:46:54,07:58:54,4,Yes,3 hours 12 min
2021-08-09 ,1 hours 1 min,0 hours 0 min,03:51:49,04:52:49,2,Yes,1 hours 1 min
2021-08-11 ,1 hours 45 min,0 hours 0 min,03:29:43,05:47:43,1,Yes,1 hours 45 min
2021-08-12 ,1 hours 20 min,0 hours 0 min,03:50:38,05:42:38,4,Yes,1 hours 20 min
2021-08-13 ,2 hours 55 min,0 hours 0 min,03:58:17,06:53:17,6,Yes,2 hours 55 min
2021-08-14 ,2 hours 38 min,0 hours 0 min,04:38:05,07:16:05,2,Yes,2 hours 38 min
2021-08-15 ,1 hours 25 min,0 hours 0 min,22:32:33,23:57:33,1,Yes,1 hours 25 min
2021-08-16 ,4 hours 59 min,3 hours 23 min,07:24:43,08:56:43,14,Yes,1 hours 36 min
2021-08-17 ,2 hours 39 min,0 hours 0 min,03:34:42,23:10:49,5,Yes,2 hours 39 min
2021-08-18 ,3 hours 2 min,0 hours 0 min,03:22:50,06:24:50,7,Yes,3 hours 2 min
2021-08-19 ,4 hours 21 min,1 hours 54 min,03:53:27,06:54:27,7,Yes,2 hours 27 min
2021-08-20 ,4 hours 39 min,0 hours 0 min,03:36:12,08:15:12,7,Yes,4 hours 39 min
2021-08-22 ,1 hours 40 min,0 hours 0 min,02:38:31,05:30:31,4,Yes,1 hours 40 min
2021-08-24 ,5 hours 11 min,1 hours 36 min,05:18:44,21:59:36,7,Yes,3 hours 35 min
2021-08-26 ,2 hours 1 min,2 hours 1 min,,,3,No,0 hours 0 min
2021-08-29 ,2 hours 59 min,0 hours 0 min,03:50:33,06:49:33,4,Yes,2 hours 59 min
2021-08-30 ,6 hours 19 min,6 hours 19 min,,,11,No,0 hours 0 min
2021-08-31 ,1 hours 48 min,0 hours 0 min,04:35:40,08:15:40,4,Yes,1 hours 48 min
2021-09-04 ,1 hours 46 min,0 hours 0 min,05:14:04,07:00:04,1,Yes,1 hours 46 min
2021-09-06 ,1 hours 46 min,0 hours 41 min,07:59:08,08:57:08,1,Yes,1 hours 5 min
2021-09-07 ,7 hours 14 min,6 hours 57 min,21:01:22,21:09:22,19,Yes,0 hours 17 min
2021-09-08 ,0 hours 47 min,0 hours 0 min,04:06:21,05:25:21,1,Yes,0 hours 47 min
2021-09-09 ,6 hours 8 min,0 hours 4 min,02:17:27,08:58:27,9,Yes,6 hours 4 min
2021-09-11 ,1 hours 28 min,0 hours 0 min,05:12:51,06:40:51,1,Yes,1 hours 28 min
2021-09-12 ,0 hours 57 min,0 hours 0 min,02:04:36,03:01:36,0,Yes,0 hours 57 min
2021-09-19 ,1 hours 13 min,0 hours 0 min,04:36:15,05:49:15,3,Yes,1 hours 13 min
2021-09-20 ,1 hours 29 min,0 hours 0 min,01:54:28,03:23:28,2,Yes,1 hours 29 min
2021-09-21 ,2 hours 12 min,0 hours 0 min,00:05:28,02:17:28,4,Yes,2 hours 12 min
2021-09-23 ,1 hours 28 min,0 hours 0 min,02:28:21,03:56:21,1,Yes,1 hours 28 min
2021-09-24 ,1 hours 19 min,0 hours 0 min,03:20:43,04:39:43,1,Yes,1 hours 19 min
2021-09-30 ,1 hours 47 min,0 hours 0 min,03:55:42,05:42:42,4,Yes,1 hours 47 min
2021-10-01 ,1 hours 26 min,0 hours 0 min,03:39:36,05:05:36,2,Yes,1 hours 26 min
2021-10-02 ,1 hours 2 min,0 hours 0 min,05:36:41,06:38:41,1,Yes,1 hours 2 min
2021-10-03 ,1 hours 9 min,1 hours 9 min,10:57:30,23:55:35,2,No,0 hours 0 min
2021-10-04 ,2 hours 31 min,0 hours 0 min,00:00:35,02:31:35,3,Yes,2 hours 31 min
2021-10-05 ,1 hours 56 min,0 hours 0 min,06:21:18,08:17:18,3,Yes,1 hours 56 min
2021-10-06 ,2 hours 14 min,0 hours 0 min,02:39:25,04:53:25,2,Yes,2 hours 14 min
2021-10-07 ,1 hours 11 min,0 hours 0 min,01:51:16,03:02:16,2,Yes,1 hours 11 min
2021-10-15 ,2 hours 32 min,0 hours 0 min,04:21:47,06:53:47,2,Yes,2 hours 32 min
2021-10-20 ,2 hours 26 min,0 hours 0 min,01:51:27,04:17:27,0,Yes,2 hours 26 min
2021-10-24 ,0 hours 34 min,0 hours 0 min,03:57:58,05:05:58,2,Yes,0 hours 34 min
2021-10-25 ,1 hours 11 min,0 hours 0 min,02:00:05,03:11:05,4,Yes,1 hours 11 min
2021-10-27 ,2 hours 44 min,0 hours 0 min,05:22:57,08:38:57,5,Yes,2 hours 44 min
2021-10-28 ,2 hours 10 min,0 hours 0 min,04:37:30,07:50:30,3,Yes,2 hours 10 min
2021-10-30 ,1 hours 26 min,0 hours 0 min,07:33:12,08:59:12,0,Yes,1 hours 26 min
2021-10-31 ,3 hours 17 min,0 hours 0 min,02:42:35,07:48:35,6,Yes,3 hours 17 min
2021-11-02 ,3 hours 9 min,0 hours 0 min,05:46:02,08:55:02,4,Yes,3 hours 9 min
2021-11-03 ,1 hours 1 min,0 hours 0 min,03:32:09,04:33:09,1,Yes,1 hours 1 min
2021-11-04 ,1 hours 22 min,0 hours 0 min,06:21:41,07:43:41,1,Yes,1 hours 22 min
2021-11-07 ,1 hours 25 min,1 hours 25 min,,,2,No,0 hours 0 min
2021-11-09 ,1 hours 20 min,1 hours 20 min,,,3,No,0 hours 0 min
2021-11-11 ,2 hours 47 min,0 hours 0 min,05:23:43,08:10:43,3,Yes,2 hours 47 min
2021-11-14 ,2 hours 39 min,0 hours 0 min,05:28:16,08:50:57,4,Yes,2 hours 39 min
2021-11-17 ,1 hours 34 min,0 hours 0 min,04:59:11,06:33:11,1,Yes,1 hours 34 min
2021-11-20 ,1 hours 35 min,0 hours 0 min,04:02:41,06:08:41,3,Yes,1 hours 35 min
2021-11-21 ,1 hours 26 min,0 hours 0 min,06:11:25,07:37:25,1,Yes,1 hours 26 min
2021-11-23 ,6 hours 49 min,6 hours 49 min,,,17,No,0 hours 0 min
2021-11-24 ,5 hours 27 min,5 hours 27 min,,,14,No,0 hours 0 min
2021-11-26 ,2 hours 30 min,0 hours 0 min,04:02:23,07:47:23,4,Yes,2 hours 30 min
2021-11-27 ,1 hours 18 min,0 hours 0 min,04:54:51,06:52:51,3,Yes,1 hours 18 min
2021-12-02 ,1 hours 37 min,0 hours 0 min,06:58:39,08:35:39,1,Yes,1 hours 37 min
2021-12-03 ,1 hours 5 min,0 hours 0 min,03:35:29,04:40:29,1,Yes,1 hours 5 min
2021-12-07 ,3 hours 38 min,0 hours 0 min,02:51:09,06:29:10,8,Yes,3 hours 38 min
2021-12-08 ,2 hours 7 min,0 hours 0 min,04:49:21,06:56:21,5,Yes,2 hours 7 min
