Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-09-21 ,9 hours 43 min,7 hours 38 min,21:00:14,23:04:14,14,Yes,2 hours 5 min
2021-09-23 ,1 hours 18 min,1 hours 18 min,,,5,No,0 hours 0 min
2021-09-24 ,6 hours 42 min,6 hours 42 min,,,8,No,0 hours 0 min
2021-09-25 ,7 hours 52 min,7 hours 52 min,,,15,No,0 hours 0 min
2021-09-26 ,7 hours 36 min,7 hours 36 min,,,18,No,0 hours 0 min
2021-09-27 ,1 hours 14 min,0 hours 0 min,06:52:50,08:06:50,3,Yes,1 hours 14 min
2021-09-30 ,1 hours 20 min,0 hours 0 min,03:38:08,04:58:08,1,Yes,1 hours 20 min
2021-10-01 ,0 hours 56 min,0 hours 56 min,,,1,No,0 hours 0 min
2021-10-02 ,4 hours 55 min,4 hours 55 min,,,11,No,0 hours 0 min
2021-10-03 ,6 hours 39 min,6 hours 39 min,,,12,No,0 hours 0 min
2021-10-04 ,1 hours 15 min,0 hours 0 min,02:32:42,03:47:42,3,Yes,1 hours 15 min
2021-10-05 ,7 hours 2 min,7 hours 2 min,,,16,No,0 hours 0 min
2021-10-06 ,1 hours 12 min,0 hours 0 min,01:41:23,02:53:23,1,Yes,1 hours 12 min
2021-10-07 ,3 hours 38 min,0 hours 0 min,00:02:45,05:49:57,4,Yes,3 hours 38 min
2021-10-09 ,4 hours 24 min,4 hours 24 min,,,13,No,0 hours 0 min
2021-10-10 ,3 hours 25 min,3 hours 25 min,,,6,No,0 hours 0 min
2021-10-11 ,2 hours 42 min,2 hours 42 min,,,5,No,0 hours 0 min
2021-10-14 ,7 hours 16 min,7 hours 4 min,20:49:14,21:01:14,17,Yes,0 hours 12 min
2021-10-16 ,6 hours 38 min,6 hours 38 min,,,15,No,0 hours 0 min
2021-10-17 ,0 hours 40 min,0 hours 0 min,02:35:39,03:56:39,2,Yes,0 hours 40 min
2021-10-19 ,1 hours 44 min,0 hours 0 min,05:16:28,07:00:28,2,Yes,1 hours 44 min
2021-10-20 ,3 hours 19 min,0 hours 0 min,00:02:43,05:00:44,4,Yes,3 hours 19 min
2021-10-22 ,5 hours 33 min,5 hours 33 min,,,9,No,0 hours 0 min
2021-10-28 ,7 hours 7 min,6 hours 14 min,21:23:22,23:32:25,20,Yes,0 hours 53 min
2021-10-29 ,6 hours 24 min,4 hours 7 min,00:19:25,21:19:32,16,Yes,2 hours 17 min
2021-10-30 ,4 hours 57 min,4 hours 57 min,,,11,No,0 hours 0 min
2021-10-31 ,7 hours 51 min,7 hours 32 min,21:01:58,21:14:58,17,Yes,0 hours 19 min
2021-11-01 ,0 hours 57 min,0 hours 57 min,,,1,No,0 hours 0 min
2021-11-07 ,1 hours 18 min,0 hours 0 min,01:42:16,04:33:16,5,Yes,1 hours 18 min
2021-11-08 ,4 hours 39 min,4 hours 39 min,,,8,No,0 hours 0 min
2021-11-11 ,2 hours 29 min,0 hours 0 min,03:32:38,23:32:27,3,Yes,2 hours 29 min
2021-11-12 ,3 hours 36 min,0 hours 49 min,04:49:31,08:29:35,8,Yes,2 hours 47 min
2021-11-14 ,1 hours 7 min,0 hours 0 min,04:16:07,05:23:07,1,Yes,1 hours 7 min
2021-11-15 ,5 hours 10 min,5 hours 10 min,,,9,No,0 hours 0 min
2021-11-19 ,6 hours 29 min,6 hours 3 min,21:32:20,21:58:20,15,Yes,0 hours 26 min
2021-11-23 ,8 hours 5 min,7 hours 47 min,21:02:01,21:08:01,19,Yes,0 hours 18 min
2021-11-24 ,7 hours 33 min,6 hours 46 min,21:00:00,21:45:00,16,Yes,0 hours 47 min
2021-11-25 ,6 hours 8 min,6 hours 8 min,,,17,No,0 hours 0 min
2021-11-26 ,3 hours 29 min,3 hours 29 min,,,9,No,0 hours 0 min
2021-11-30 ,1 hours 38 min,1 hours 38 min,,,5,No,0 hours 0 min
2021-12-02 ,6 hours 38 min,6 hours 20 min,21:00:48,21:17:48,13,Yes,0 hours 18 min
2021-12-04 ,3 hours 24 min,3 hours 24 min,,,9,No,0 hours 0 min
2021-12-05 ,0 hours 46 min,0 hours 0 min,05:02:25,06:21:25,2,Yes,0 hours 46 min
2021-12-06 ,8 hours 16 min,7 hours 37 min,21:00:00,21:34:00,18,Yes,0 hours 39 min
2021-12-07 ,4 hours 17 min,2 hours 20 min,04:02:12,05:58:12,9,Yes,1 hours 57 min
2021-12-08 ,0 hours 42 min,0 hours 42 min,,,3,No,0 hours 0 min
2021-12-11 ,3 hours 18 min,1 hours 34 min,01:10:41,02:33:41,7,Yes,1 hours 44 min
2021-12-12 ,1 hours 40 min,0 hours 0 min,01:34:48,03:14:48,3,Yes,1 hours 40 min
2021-12-14 ,0 hours 32 min,0 hours 22 min,08:50:20,08:50:20,1,Yes,0 hours 10 min
2021-12-15 ,6 hours 16 min,6 hours 16 min,,,11,No,0 hours 0 min
2021-12-16 ,5 hours 30 min,5 hours 30 min,,,14,No,0 hours 0 min
2021-12-17 ,1 hours 9 min,1 hours 9 min,,,1,No,0 hours 0 min
