Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-09-20 ,2 hours 44 min,2 hours 44 min,,,3,No,0 hours 0 min
2021-09-21 ,5 hours 16 min,5 hours 16 min,,,9,No,0 hours 0 min
2021-09-22 ,7 hours 59 min,7 hours 47 min,21:00:43,21:11:46,12,Yes,0 hours 12 min
2021-09-25 ,2 hours 59 min,2 hours 59 min,,,9,No,0 hours 0 min
2021-09-26 ,5 hours 10 min,5 hours 10 min,,,6,No,0 hours 0 min
2021-09-27 ,6 hours 19 min,6 hours 19 min,,,11,No,0 hours 0 min
2021-09-28 ,1 hours 45 min,1 hours 45 min,,,3,No,0 hours 0 min
2021-09-29 ,4 hours 49 min,4 hours 49 min,,,9,No,0 hours 0 min
2021-09-30 ,3 hours 7 min,3 hours 7 min,,,8,No,0 hours 0 min
2021-10-02 ,3 hours 44 min,3 hours 44 min,,,6,No,0 hours 0 min
2021-10-03 ,3 hours 54 min,3 hours 54 min,,,7,No,0 hours 0 min
2021-10-06 ,1 hours 35 min,1 hours 35 min,,,2,No,0 hours 0 min
2021-10-07 ,3 hours 56 min,3 hours 56 min,,,7,No,0 hours 0 min
2021-10-08 ,3 hours 52 min,3 hours 52 min,,,7,No,0 hours 0 min
2021-10-09 ,5 hours 33 min,4 hours 7 min,21:06:57,22:04:57,8,Yes,1 hours 26 min
2021-10-10 ,2 hours 38 min,2 hours 38 min,,,6,No,0 hours 0 min
2021-10-11 ,4 hours 13 min,2 hours 43 min,06:32:44,07:51:44,8,Yes,1 hours 30 min
2021-10-12 ,4 hours 23 min,4 hours 23 min,,,10,No,0 hours 0 min
2021-10-13 ,6 hours 3 min,6 hours 3 min,,,6,No,0 hours 0 min
2021-10-14 ,5 hours 22 min,5 hours 22 min,,,8,No,0 hours 0 min
2021-10-15 ,4 hours 28 min,4 hours 28 min,,,5,No,0 hours 0 min
2021-10-16 ,4 hours 44 min,3 hours 26 min,22:02:15,23:20:15,10,Yes,1 hours 18 min
2021-10-17 ,3 hours 21 min,3 hours 21 min,,,6,No,0 hours 0 min
2021-10-18 ,2 hours 26 min,2 hours 26 min,,,3,No,0 hours 0 min
2021-10-19 ,4 hours 13 min,4 hours 13 min,,,6,No,0 hours 0 min
2021-10-20 ,6 hours 8 min,6 hours 8 min,,,8,No,0 hours 0 min
2021-10-21 ,6 hours 16 min,6 hours 16 min,,,7,No,0 hours 0 min
2021-10-22 ,2 hours 41 min,2 hours 41 min,,,7,No,0 hours 0 min
2021-10-23 ,4 hours 3 min,4 hours 3 min,,,14,No,0 hours 0 min
2021-10-25 ,4 hours 31 min,3 hours 39 min,21:04:20,21:50:20,7,Yes,0 hours 52 min
2021-10-26 ,5 hours 23 min,5 hours 23 min,,,7,No,0 hours 0 min
2021-10-27 ,2 hours 54 min,2 hours 54 min,,,4,No,0 hours 0 min
2021-10-28 ,5 hours 2 min,5 hours 2 min,,,10,No,0 hours 0 min
2021-10-29 ,4 hours 0 min,4 hours 0 min,,,9,No,0 hours 0 min
2021-10-30 ,5 hours 28 min,5 hours 28 min,,,10,No,0 hours 0 min
2021-10-31 ,4 hours 22 min,4 hours 22 min,,,9,No,0 hours 0 min
2021-11-01 ,2 hours 33 min,2 hours 33 min,,,3,No,0 hours 0 min
2021-11-02 ,5 hours 58 min,5 hours 58 min,,,9,No,0 hours 0 min
2021-11-03 ,4 hours 35 min,4 hours 35 min,,,13,No,0 hours 0 min
2021-11-04 ,2 hours 6 min,2 hours 6 min,,,6,No,0 hours 0 min
2021-11-05 ,7 hours 19 min,7 hours 19 min,,,10,No,0 hours 0 min
2021-11-06 ,4 hours 30 min,4 hours 30 min,,,8,No,0 hours 0 min
2021-11-07 ,4 hours 32 min,4 hours 32 min,,,7,No,0 hours 0 min
2021-11-08 ,5 hours 26 min,5 hours 26 min,,,7,No,0 hours 0 min
2021-11-09 ,3 hours 42 min,3 hours 42 min,,,6,No,0 hours 0 min
2021-11-10 ,4 hours 12 min,4 hours 12 min,,,5,No,0 hours 0 min
2021-11-11 ,2 hours 40 min,2 hours 40 min,,,4,No,0 hours 0 min
2021-11-12 ,3 hours 27 min,3 hours 27 min,,,6,No,0 hours 0 min
2021-11-13 ,4 hours 44 min,4 hours 44 min,,,9,No,0 hours 0 min
2021-11-15 ,4 hours 34 min,4 hours 34 min,,,10,No,0 hours 0 min
2021-11-16 ,2 hours 31 min,2 hours 31 min,,,6,No,0 hours 0 min
2021-11-17 ,3 hours 44 min,3 hours 44 min,,,8,No,0 hours 0 min
2021-11-18 ,5 hours 54 min,5 hours 54 min,,,10,No,0 hours 0 min
2021-11-19 ,1 hours 27 min,1 hours 27 min,,,6,No,0 hours 0 min
2021-11-20 ,5 hours 34 min,5 hours 34 min,,,9,No,0 hours 0 min
2021-11-21 ,1 hours 6 min,1 hours 6 min,,,2,No,0 hours 0 min
2021-11-22 ,2 hours 35 min,2 hours 35 min,,,3,No,0 hours 0 min
2021-11-23 ,2 hours 26 min,2 hours 26 min,,,7,No,0 hours 0 min
2021-11-24 ,3 hours 17 min,3 hours 17 min,,,7,No,0 hours 0 min
2021-11-25 ,4 hours 7 min,2 hours 49 min,21:10:04,22:28:04,7,Yes,1 hours 18 min
2021-11-26 ,4 hours 30 min,4 hours 30 min,,,8,No,0 hours 0 min
2021-11-27 ,4 hours 26 min,4 hours 26 min,,,10,No,0 hours 0 min
2021-11-28 ,3 hours 8 min,3 hours 8 min,,,5,No,0 hours 0 min
2021-11-29 ,6 hours 2 min,6 hours 2 min,,,14,No,0 hours 0 min
2021-11-30 ,5 hours 35 min,5 hours 35 min,,,9,No,0 hours 0 min
2021-12-01 ,4 hours 56 min,4 hours 56 min,,,9,No,0 hours 0 min
2021-12-02 ,5 hours 16 min,5 hours 16 min,,,8,No,0 hours 0 min
2021-12-03 ,3 hours 47 min,3 hours 47 min,,,7,No,0 hours 0 min
