Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-09-28 ,4 hours 50 min,4 hours 50 min,,,11,No,0 hours 0 min
2021-09-29 ,6 hours 51 min,6 hours 51 min,,,15,No,0 hours 0 min
2021-09-30 ,4 hours 2 min,4 hours 2 min,,,13,No,0 hours 0 min
2021-10-01 ,3 hours 35 min,2 hours 47 min,21:03:41,21:29:41,12,Yes,0 hours 48 min
2021-10-02 ,6 hours 33 min,6 hours 16 min,21:03:09,21:14:09,8,Yes,0 hours 17 min
2021-10-04 ,4 hours 49 min,4 hours 49 min,,,9,No,0 hours 0 min
2021-10-05 ,1 hours 6 min,0 hours 56 min,21:22:26,22:06:26,6,Yes,0 hours 10 min
2021-10-06 ,6 hours 32 min,6 hours 7 min,21:00:46,21:20:46,15,Yes,0 hours 25 min
2021-10-07 ,4 hours 1 min,4 hours 1 min,,,8,No,0 hours 0 min
2021-10-08 ,8 hours 40 min,6 hours 56 min,21:01:15,23:57:15,18,Yes,1 hours 44 min
2021-10-09 ,1 hours 12 min,1 hours 12 min,,,3,No,0 hours 0 min
2021-10-10 ,9 hours 5 min,7 hours 15 min,21:00:23,22:38:23,18,Yes,1 hours 50 min
2021-10-11 ,7 hours 40 min,4 hours 26 min,00:58:01,22:15:10,18,Yes,3 hours 14 min
2021-10-12 ,3 hours 56 min,3 hours 56 min,,,9,No,0 hours 0 min
2021-10-13 ,6 hours 39 min,6 hours 39 min,,,13,No,0 hours 0 min
2021-10-14 ,6 hours 32 min,5 hours 42 min,21:11:47,21:48:47,15,Yes,0 hours 50 min
2021-10-15 ,6 hours 28 min,3 hours 57 min,21:01:57,23:25:57,19,Yes,2 hours 31 min
2021-10-16 ,6 hours 59 min,4 hours 48 min,21:29:54,23:47:54,21,Yes,2 hours 11 min
2021-10-17 ,3 hours 21 min,3 hours 2 min,00:05:54,00:19:54,8,Yes,0 hours 19 min
2021-10-18 ,7 hours 6 min,5 hours 50 min,21:01:17,22:15:17,18,Yes,1 hours 16 min
2021-10-19 ,5 hours 10 min,5 hours 10 min,,,9,No,0 hours 0 min
2021-10-20 ,8 hours 12 min,7 hours 5 min,21:03:04,22:03:04,20,Yes,1 hours 7 min
2021-10-21 ,7 hours 40 min,5 hours 52 min,21:02:09,22:29:09,15,Yes,1 hours 48 min
2021-10-22 ,8 hours 27 min,6 hours 33 min,21:05:45,22:46:45,18,Yes,1 hours 54 min
2021-10-24 ,5 hours 10 min,4 hours 35 min,21:07:17,21:42:17,14,Yes,0 hours 35 min
2021-10-25 ,4 hours 44 min,4 hours 42 min,20:59:09,21:01:09,11,Yes,0 hours 2 min
2021-10-26 ,5 hours 11 min,3 hours 42 min,21:16:18,22:24:18,15,Yes,1 hours 29 min
2021-10-27 ,6 hours 12 min,4 hours 46 min,21:12:08,22:17:08,17,Yes,1 hours 26 min
2021-10-29 ,5 hours 44 min,3 hours 56 min,21:01:21,23:56:21,17,Yes,1 hours 48 min
2021-10-30 ,6 hours 48 min,5 hours 43 min,00:01:21,21:33:07,19,Yes,1 hours 5 min
2021-10-31 ,7 hours 16 min,6 hours 28 min,21:06:32,21:47:32,16,Yes,0 hours 48 min
2021-11-01 ,5 hours 51 min,5 hours 51 min,,,16,No,0 hours 0 min
2021-11-03 ,5 hours 56 min,5 hours 18 min,21:00:21,22:25:21,13,Yes,0 hours 38 min
2021-11-04 ,1 hours 18 min,0 hours 25 min,21:05:57,22:17:57,3,Yes,0 hours 53 min
2021-11-05 ,4 hours 23 min,4 hours 23 min,,,9,No,0 hours 0 min
2021-11-06 ,5 hours 52 min,2 hours 43 min,05:51:35,08:46:35,20,Yes,3 hours 9 min
2021-11-07 ,5 hours 24 min,4 hours 38 min,21:08:13,22:17:13,17,Yes,0 hours 46 min
2021-11-08 ,5 hours 44 min,5 hours 44 min,,,19,No,0 hours 0 min
2021-11-09 ,5 hours 19 min,4 hours 8 min,21:00:53,22:04:53,14,Yes,1 hours 11 min
2021-11-10 ,6 hours 0 min,5 hours 12 min,21:25:03,22:13:03,15,Yes,0 hours 48 min
2021-11-11 ,6 hours 54 min,5 hours 28 min,21:08:44,22:18:44,22,Yes,1 hours 26 min
2021-11-12 ,5 hours 55 min,5 hours 55 min,,,14,No,0 hours 0 min
2021-11-14 ,5 hours 40 min,5 hours 9 min,21:31:37,22:02:37,18,Yes,0 hours 31 min
2021-11-15 ,2 hours 50 min,2 hours 50 min,,,10,No,0 hours 0 min
2021-11-16 ,5 hours 52 min,4 hours 54 min,21:06:19,21:56:19,12,Yes,0 hours 58 min
2021-11-17 ,5 hours 5 min,3 hours 35 min,21:02:20,22:09:20,16,Yes,1 hours 30 min
2021-11-18 ,3 hours 36 min,3 hours 36 min,,,10,No,0 hours 0 min
2021-11-19 ,6 hours 4 min,4 hours 45 min,21:34:25,23:56:26,18,Yes,1 hours 19 min
2021-11-20 ,6 hours 15 min,4 hours 57 min,00:04:27,01:14:27,15,Yes,1 hours 18 min
2021-11-21 ,7 hours 15 min,7 hours 6 min,21:04:24,21:08:24,15,Yes,0 hours 9 min
2021-11-22 ,9 hours 15 min,9 hours 15 min,,,20,No,0 hours 0 min
2021-11-26 ,7 hours 44 min,4 hours 49 min,21:00:00,23:47:04,19,Yes,2 hours 55 min
2021-11-27 ,3 hours 44 min,2 hours 25 min,00:02:04,02:19:04,12,Yes,1 hours 19 min
