Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-09-03 ,7 hours 46 min,1 hours 49 min,00:15:19,22:39:28,17,Yes,5 hours 57 min
2021-09-04 ,9 hours 46 min,5 hours 14 min,07:53:54,23:58:30,22,Yes,4 hours 32 min
2021-09-05 ,8 hours 9 min,4 hours 9 min,00:00:30,21:57:13,19,Yes,4 hours 0 min
2021-09-06 ,1 hours 32 min,1 hours 32 min,,,2,No,0 hours 0 min
2021-09-07 ,4 hours 37 min,3 hours 11 min,07:01:19,08:25:19,10,Yes,1 hours 26 min
2021-09-08 ,6 hours 43 min,2 hours 55 min,03:37:56,07:54:46,16,Yes,3 hours 48 min
2021-09-09 ,8 hours 40 min,5 hours 32 min,04:25:13,08:56:46,22,Yes,3 hours 8 min
2021-09-10 ,3 hours 54 min,3 hours 54 min,,,6,No,0 hours 0 min
2021-09-11 ,6 hours 57 min,5 hours 22 min,07:24:59,21:53:08,14,Yes,1 hours 35 min
2021-09-12 ,1 hours 5 min,0 hours 0 min,07:07:37,08:46:37,3,Yes,1 hours 5 min
2021-09-27 ,2 hours 28 min,1 hours 29 min,08:01:26,08:39:26,5,Yes,0 hours 59 min
2021-10-13 ,5 hours 49 min,3 hours 40 min,21:03:33,22:54:33,10,Yes,2 hours 9 min
2021-10-20 ,3 hours 24 min,3 hours 24 min,,,7,No,0 hours 0 min
2021-10-22 ,7 hours 40 min,5 hours 6 min,06:30:15,22:29:01,17,Yes,2 hours 34 min
2021-10-23 ,8 hours 52 min,5 hours 50 min,21:10:58,23:56:58,18,Yes,3 hours 2 min
2021-10-24 ,1 hours 49 min,0 hours 0 min,00:03:58,03:54:25,4,Yes,1 hours 49 min
2021-10-26 ,7 hours 5 min,3 hours 59 min,21:00:40,23:59:40,15,Yes,3 hours 6 min
2021-10-27 ,0 hours 21 min,0 hours 0 min,00:00:40,00:21:40,1,Yes,0 hours 21 min
2021-11-02 ,2 hours 7 min,2 hours 7 min,,,5,No,0 hours 0 min
2021-11-05 ,2 hours 32 min,2 hours 32 min,,,7,No,0 hours 0 min
2021-11-28 ,6 hours 52 min,4 hours 54 min,21:04:52,22:57:52,14,Yes,1 hours 58 min
2021-11-29 ,7 hours 0 min,3 hours 52 min,05:25:32,08:32:32,17,Yes,3 hours 8 min
2021-11-30 ,5 hours 13 min,5 hours 13 min,,,12,No,0 hours 0 min
2021-12-01 ,3 hours 26 min,3 hours 26 min,,,9,No,0 hours 0 min
2021-12-02 ,3 hours 26 min,3 hours 26 min,,,8,No,0 hours 0 min
2021-12-03 ,3 hours 16 min,3 hours 16 min,,,9,No,0 hours 0 min
